SPORT;EVENT;MEDALIST;MEDAL
Athletics;Men's Marathon;KIPCHOGE Eliud;GOLD
Athletics;Men's Pole Vault;DA SILVA Thiago Braz;GOLD
Athletics;Men's Shot Put;CROUSER Ryan;GOLD
Athletics;Men's Triple Jump;TAYLOR Christian;GOLD
Athletics;Women's 10,000m;AYANA Almaz;GOLD
Athletics;Women's 100m;THOMPSON Elaine;GOLD
Athletics;Women's 100m Hurdles;ROLLINS Brianna;GOLD
Athletics;Women's 1500m;KIPYEGON Faith Chepngetich;GOLD
Athletics;Women's 200m;THOMPSON Elaine;GOLD
Athletics;Women's 20km Walk;LIU Hong;GOLD
Athletics;Women's 3000m Steeplechase;JEBET Ruth;GOLD
Athletics;Women's 4 x 100m Relay;United States;GOLD
Athletics;Women's 4 x 400m Relay;United States;GOLD
Athletics;Women's 400m;MILLER Shaunae;GOLD
Athletics;Women's 400m Hurdles;MUHAMMAD Dalilah;GOLD
Athletics;Women's 5000m;CHERUIYOT Vivian Jepkemoi;GOLD
Athletics;Women's 800m;SEMENYA Caster;GOLD
Athletics;Women's Discus Throw;PERKOVIC Sandra;GOLD
Athletics;Women's Hammer Throw;WLODARCZYK Anita;GOLD
Athletics;Women's Heptathlon;THIAM Nafissatou;GOLD
Athletics;Women's High Jump;BEITIA Ruth;GOLD
Athletics;Women's Javelin Throw;KOLAK Sara;GOLD
Athletics;Women's Long Jump;BARTOLETTA Tianna;GOLD
Athletics;Women's Marathon;SUMGONG Jemima Jelagat;GOLD
Athletics;Women's Pole Vault;STEFANIDI Ekaterini;GOLD
Athletics;Women's Shot Put;CARTER Michelle;GOLD
Athletics;Women's Triple Jump;IBARGUEN Caterine;GOLD
Badminton;Men's Doubles;Zhang / Fu;GOLD
Badminton;Men's Singles;CHEN Long;GOLD
Badminton;Mixed Doubles;Natsir / Ahmad;GOLD
Badminton;Women's Doubles;Takahashi / Matsutomo;GOLD
Badminton;Women's Singles;MARIN Carolina;GOLD
Basketball;Men;United States;GOLD
Basketball;Women;United States;GOLD
Beach Volleyball;Men;Cerutti / Oscar Schmidt;GOLD
Beach Volleyball;Women;Ludwig / Walkenhorst;GOLD
Boxing;Men's Bantam (56kg);RAMIREZ Robeisy;GOLD
Boxing;Men's Fly (52kg);ZOIROV Shakhobidin;GOLD
Boxing;Men's Heavy (91kg);TISHCHENKO Evgeny;GOLD
Boxing;Men's Light (60kg);CONCEICAO Robson;GOLD
Boxing;Men's Light Fly (46-49kg);DUSMATOV Hasanboy;GOLD
Boxing;Men's Light Heavy (81kg);LA CRUZ Julio Cesar;GOLD
Boxing;Men's Light Welter (64kg);GAIBNAZAROV Fazliddin;GOLD
Boxing;Men's Middle (75kg);LOPEZ Arlen;GOLD
Boxing;Men's Super Heavy (+91kg);YOKA Tony Victor James;GOLD
Boxing;Men's Welter (69kg);YELEUSSINOV Daniyar;GOLD
Boxing;Women's Fly (48-51kg);ADAMS Nicola;GOLD
Boxing;Women's Light (57-60kg);MOSSELY Estelle;GOLD
Boxing;Women's Middle (69-75kg);SHIELDS Claressa Maria;GOLD
Canoe Slalom;Canoe Double (C2) Men;Skantar / Skantar;GOLD
Canoe Slalom;Canoe Single (C1) Men;GARGAUD CHANUT Denis;GOLD
Canoe Slalom;Kayak (K1) Men;CLARKE Joseph;GOLD
Canoe Slalom;Kayak (K1) Women;CHOURRAUT Maialen;GOLD
Canoe Sprint;Men's Canoe Double 1000m;Brendel / Vandrey;GOLD
Canoe Sprint;Men's Canoe Single 1000m;BRENDEL Sebastian;GOLD
Canoe Sprint;Men's Canoe Single 200m;CHEBAN Iurii;GOLD
Canoe Sprint;Men's Kayak Double 1000m;Gross / Rendschmidt;GOLD
Canoe Sprint;Men's Kayak Double 200m;Craviotto / Toro;GOLD
Canoe Sprint;Men's Kayak Four 1000m;Germany;GOLD
Canoe Sprint;Men's Kayak Single 1000m;WALZ Marcus;GOLD
Canoe Sprint;Men's Kayak Single 200m;HEATH Liam;GOLD
Canoe Sprint;Women's Kayak Double 500m;Kozak / Szabo;GOLD
Canoe Sprint;Women's Kayak Four 500m;Hungary;GOLD
Canoe Sprint;Women's Kayak Single 200m;CARRINGTON Lisa;GOLD
Canoe Sprint;Women's Kayak Single 500m;KOZAK Danuta;GOLD
Cycling BMX;Men;FIELDS Connor;GOLD
Cycling BMX;Women;PAJON Mariana;GOLD
Cycling Mountain Bike;Men's Cross-country;SCHURTER Nino;GOLD
Cycling Mountain Bike;Women's Cross-country;RISSVEDS Jenny;GOLD
Cycling Road;Men's Individual Time Trial;CANCELLARA Fabian;GOLD
Cycling Road;Men's Road Race;VAN AVERMAET Greg;GOLD
Cycling Road;Women's Individual Time Trial;ARMSTRONG Kristin;GOLD
Cycling Road;Women's Road Race;VAN DER BREGGEN Anna;GOLD
Cycling Track;Men's Keirin;KENNY Jason;GOLD
Cycling Track;Men's Omnium;VIVIANI Elia;GOLD
Cycling Track;Men's Sprint;KENNY Jason;GOLD
Cycling Track;Men's Team Pursuit;Great Britain;GOLD
Cycling Track;Men's Team Sprint;Great Britain;GOLD
Cycling Track;Women's Keirin;LIGTLEE Elis;GOLD
Cycling Track;Women's Omnium;TROTT Laura;GOLD
Cycling Track;Women's Sprint;VOGEL Kristina;GOLD
Cycling Track;Women's Team Pursuit;Great Britain;GOLD
Cycling Track;Women's Team Sprint;Gong / Zhong;GOLD
Diving;Men's 10m Platform;CHEN Aisen;GOLD
Diving;Men's 3m Springboard;CAO Yuan;GOLD
Diving;Men's Synchronised 10m Platform;Lin / Chen;GOLD
Diving;Men's Synchronised 3m Springboard;Laugher / Mears;GOLD
Diving;Women's 10m Platform;REN Qian;GOLD
Diving;Women's 3m Springboard;SHI Tingmao;GOLD
Diving;Women's Synchronised 10m Platform;Liu / Chen;GOLD
Diving;Women's Synchronised 3m Springboard;Wu / Shi;GOLD
Equestrian;Dressage Individual;DUJARDIN Charlotte;GOLD
Equestrian;Dressage Team;Germany;GOLD
Equestrian;Eventing Individual;JUNG Michael;GOLD
Equestrian;Eventing Team;France;GOLD
Equestrian;Jumping Individual;SKELTON Nick;GOLD
Equestrian;Jumping Team;France;GOLD
Fencing;Men's Épée Individual;PARK Sangyoung;GOLD
Fencing;Men's Épée Team;France;GOLD
Fencing;Men's Foil Individual;GAROZZO Daniele;GOLD
Fencing;Men's Foil Team;Russian Federation;GOLD
Fencing;Men's Sabre Individual;SZILAGYI Aron;GOLD
Fencing;Women's Épée Individual;SZASZ Emese;GOLD
Fencing;Women's Épée Team;Romania;GOLD
Fencing;Women's Foil Individual;DERIGLAZOVA Inna;GOLD
Fencing;Women's Sabre Individual;EGORIAN Yana;GOLD
Fencing;Women's Sabre Team;Russian Federation;GOLD
Football;Men;Brazil;GOLD
Football;Women;Germany;GOLD
Golf;Men's Individual Stroke Play;ROSE Justin;GOLD
Golf;Women's Individual Stroke Play;PARK Inbee;GOLD
Handball;Men;Denmark;GOLD
Handball;Women;Russian Federation;GOLD
Hockey;Men;Argentina;GOLD
Hockey;Women;Great Britain;GOLD
Judo;Men -100 kg;KRPALEK Lukas;GOLD
Judo;Men -60 kg;MUDRANOV Beslan;GOLD
Judo;Men -66 kg;BASILE Fabio;GOLD
Judo;Men -73 kg;ONO Shohei;GOLD
Judo;Men -81 kg;KHALMURZAEV Khasan;GOLD
Judo;Men -90 kg;BAKER Mashu;GOLD
Judo;Men +100 kg;RINER Teddy;GOLD
Judo;Women -48 kg;PARETO Paula;GOLD
Judo;Women -52 kg;KELMENDI Majlinda;GOLD
Judo;Women -57 kg;SILVA Rafaela;GOLD
Judo;Women -63 kg;TRSTENJAK Tina;GOLD
Judo;Women -70 kg;TACHIMOTO Haruka;GOLD
Judo;Women -78 kg;HARRISON Kayla;GOLD
Judo;Women +78 kg;ANDEOL Emilie;GOLD
Marathon Swimming;Men's 10km;WEERTMAN Ferry;GOLD
Marathon Swimming;Women's 10km;VAN ROUWENDAAL Sharon;GOLD
Modern Pentathlon;Men's Individual;LESUN Alexander;GOLD
Modern Pentathlon;Women's Individual;ESPOSITO Chloe;GOLD
Rhythmic Gymnastics;Group All-Around;Russian Federation;GOLD
Rhythmic Gymnastics;Individual All-Around;MAMUN Margarita;GOLD
Rowing;Lightweight Men's Double Sculls;Azou / Houin;GOLD
Rowing;Lightweight Men's Four;Switzerland;GOLD
Rowing;Lightweight Women's Double Sculls;Head / Paulis;GOLD
Rowing;Men's Double Sculls;Sinkovic / Sinkovic;GOLD
Rowing;Men's Eight;Great Britain;GOLD
Rowing;Men's Four;Great Britain;GOLD
Rowing;Men's Pair;Bond / Murray;GOLD
Rowing;Men's Quadruple Sculls;Germany;GOLD
Rowing;Men's Single Sculls;DRYSDALE Mahe;GOLD
Rowing;Women's Double Sculls;Fularczyk-Kozlowska / Madaj;GOLD
Rowing;Women's Eight;United States;GOLD
Rowing;Women's Pair;Glover / Stanning;GOLD
Rowing;Women's Quadruple Sculls;Germany;GOLD
Rowing;Women's Single Sculls;BRENNAN Kimberley;GOLD
Rugby Sevens;Men;Fiji;GOLD
Rugby Sevens;Women;Australia;GOLD
Sailing;470 Men;Fantela / Marenic;GOLD
Sailing;470 Women;Clark / Mills;GOLD
Sailing;49er FX Women;Kunze / Grael;GOLD
Sailing;49er Men;Burling / Tuke;GOLD
Sailing;Finn Men;SCOTT Giles;GOLD
Sailing;Laser Men;BURTON Tom;GOLD
Sailing;Laser Radial Women;BOUWMEESTER Marit;GOLD
Sailing;Nacra 17 Mixed;Lange / Carranza Saroli;GOLD
Sailing;RS:X Men;VAN RIJSSELBERGHE Dorian;GOLD
Sailing;RS:X Women;PICON Charline;GOLD
Shooting;10m Air Pistol Men;HOANG Xuan Vinh;GOLD
Shooting;10m Air Pistol Women;ZHANG Mengxue;GOLD
Shooting;10m Air Rifle Men;CAMPRIANI Niccolo;GOLD
Shooting;10m Air Rifle Women;THRASHER Virginia;GOLD
Shooting;25m Pistol Women;KORAKAKI Anna;GOLD
Shooting;25m Rapid Fire Pistol Men;REITZ Christian;GOLD
Shooting;50m Pistol Men;JIN Jongoh;GOLD
Shooting;50m Rifle 3 Positions Men;CAMPRIANI Niccolo;GOLD
Shooting;50m Rifle 3 Positions Women;ENGLEDER Barbara;GOLD
Shooting;50m Rifle Prone Men;JUNGHAENEL Henri;GOLD
Shooting;Double Trap Men;ALDEEHANI Fehaid;GOLD
Shooting;Skeet Men;ROSSETTI Gabriele;GOLD
Shooting;Skeet Women;BACOSI Diana;GOLD
Shooting;Trap Men;GLASNOVIC Josip;GOLD
Shooting;Trap Women;SKINNER Catherine;GOLD
Swimming;Men's 100m Backstroke;MURPHY Ryan;GOLD
Swimming;Men's 100m Breaststroke;PEATY Adam;GOLD
Swimming;Men's 100m Butterfly;SCHOOLING Joseph;GOLD
Swimming;Men's 100m Freestyle;CHALMERS Kyle;GOLD
Swimming;Men's 1500m Freestyle;PALTRINIERI Gregorio;GOLD
Swimming;Men's 200m Backstroke;MURPHY Ryan;GOLD
Swimming;Men's 200m Breaststroke;BALANDIN Dmitriy;GOLD
Swimming;Men's 200m Butterfly;PHELPS Michael;GOLD
Swimming;Men's 200m Freestyle;SUN Yang;GOLD
Swimming;Men's 200m Individual Medley;PHELPS Michael;GOLD
Swimming;Men's 4 x 100m Freestyle Relay;United States;GOLD
Swimming;Men's 4 x 100m Medley Relay;United States;GOLD
Swimming;Men's 4 x 200m Freestyle Relay;United States;GOLD
Swimming;Men's 400m Freestyle;HORTON Mack;GOLD
Swimming;Men's 400m Individual Medley;HAGINO Kosuke;GOLD
Swimming;Men's 50m Freestyle;ERVIN Anthony;GOLD
Swimming;Women's 100m Backstroke;HOSSZU Katinka;GOLD
Swimming;Women's 100m Breaststroke;KING Lilly;GOLD
Swimming;Women's 100m Butterfly;SJOSTROM Sarah;GOLD
Swimming;Women's 100m Freestyle;OLEKSIAK Penny;GOLD
Swimming;Women's 100m Freestyle;MANUEL Simone;GOLD
Swimming;Women's 200m Backstroke;DIRADO Madeline;GOLD
Swimming;Women's 200m Breaststroke;KANETO Rie;GOLD
Swimming;Women's 200m Butterfly;BELMONTE GARCIA Mireia;GOLD
Swimming;Women's 200m Freestyle;LEDECKY Katie;GOLD
Swimming;Women's 200m Individual Medley;HOSSZU Katinka;GOLD
Swimming;Women's 4 x 100m Freestyle Relay;Australia;GOLD
Swimming;Women's 4 x 100m Medley Relay;United States;GOLD
Swimming;Women's 4 x 200m Freestyle Relay;United States;GOLD
Swimming;Women's 400m Freestyle;LEDECKY Katie;GOLD
Swimming;Women's 400m Individual Medley;HOSSZU Katinka;GOLD
Swimming;Women's 50m Freestyle;BLUME Pernille;GOLD
Swimming;Women's 800m Freestyle;LEDECKY Katie;GOLD
Synchronised Swimming;Duets;Ishchenko / Romashina;GOLD
Synchronised Swimming;Teams;Russian Federation;GOLD
Table Tennis;Men's Singles;MA Long;GOLD
Table Tennis;Men's Team;China;GOLD
Table Tennis;Women's Singles;DING Ning;GOLD
Table Tennis;Women's Team;China;GOLD
Taekwondo;Men -58kg;ZHAO Shuai;GOLD
Taekwondo;Men -68kg;ABUGHAUSH Ahmad;GOLD
Taekwondo;Men -80kg;CISSE Cheick Sallah Junior;GOLD
Taekwondo;Men +80kg;ISAEV Radik;GOLD
Taekwondo;Women -49kg;KIM Sohui;GOLD
Taekwondo;Women -57kg;JONES Jade;GOLD
Taekwondo;Women -67kg;OH Hyeri;GOLD
Taekwondo;Women +67kg;ZHENG Shuyin;GOLD
Tennis;Men's Doubles;Lopez / Nadal;GOLD
Tennis;Men's Singles;MURRAY Andy;GOLD
Tennis;Mixed Doubles;Sock / Mattek-Sands;GOLD
Tennis;Women's Doubles;Makarova / Vesnina;GOLD
Tennis;Women's Singles;PUIG Monica;GOLD
Trampoline Gymnastics;Men;HANCHAROU Uladzislau;GOLD
Trampoline Gymnastics;Women;MACLENNAN Rosannagh;GOLD
Triathlon;Men;BROWNLEE Alistair;GOLD
Triathlon;Women;JORGENSEN Gwen;GOLD
Volleyball;Men;Brazil;GOLD
Volleyball;Women;China;GOLD
Water Polo;Men;Serbia;GOLD
Water Polo;Women;United States;GOLD
Weightlifting;Men's +105kg;TALAKHADZE Lasha;GOLD
Weightlifting;Men's 105kg;NURUDINOV Ruslan;GOLD
Weightlifting;Men's 56kg;LONG Qingquan;GOLD
Weightlifting;Men's 62kg;FIGUEROA MOSQUERA Oscar Albeiro;GOLD
Weightlifting;Men's 69kg;SHI Zhiyong;GOLD
Weightlifting;Men's 77kg;RAHIMOV Nijat;GOLD
Weightlifting;Men's 85kg;ROSTAMI Kianoush;GOLD
Weightlifting;Men's 94kg;MORADI Sohrab;GOLD
Weightlifting;Women's +75kg;MENG Suping;GOLD
Weightlifting;Women's 48kg;TANASAN Sopita;GOLD
Weightlifting;Women's 53kg;HSU Shu-Ching;GOLD
Weightlifting;Women's 58kg;SRISURAT Sukanya;GOLD
Weightlifting;Women's 63kg;DENG Wei;GOLD
Weightlifting;Women's 69kg;XIANG Yanmei;GOLD
Weightlifting;Women's 75kg;RIM Jong Sim;GOLD
Wrestling;Men's Freestyle 125 kg;AKGUL Taha;GOLD
Wrestling;Men's Freestyle 57 kg;KHINCHEGASHVILI Vladimer;GOLD
Wrestling;Men's Freestyle 65 kg;RAMONOV Soslan;GOLD
Wrestling;Men's Freestyle 74 kg;YAZDANICHARATI Hassan Aliazam;GOLD
Wrestling;Men's Freestyle 86 kg;SADULAEV Abdulrashid;GOLD
Wrestling;Men's Freestyle 97 kg;SNYDER Kyle Frederick;GOLD
Wrestling;Men's Greco-Roman 130 kg;LOPEZ NUNEZ Mijain;GOLD
Wrestling;Men's Greco-Roman 59 kg;BORRERO MOLINA Ismael;GOLD
Wrestling;Men's Greco-Roman 66 kg;STEFANEK Davor;GOLD
Wrestling;Men's Greco-Roman 75 kg;VLASOV Roman;GOLD
Wrestling;Men's Greco-Roman 85 kg;CHAKVETADZE Davit;GOLD
Wrestling;Men's Greco-Roman 98 kg;ALEKSANYAN Artur;GOLD
Wrestling;Women's Freestyle 48 kg;TOSAKA Eri;GOLD
Wrestling;Women's Freestyle 53 kg;MAROULIS Helen Louise;GOLD
Wrestling;Women's Freestyle 58 kg;ICHO Kaori;GOLD
Wrestling;Women's Freestyle 63 kg;KAWAI Risako;GOLD
Wrestling;Women's Freestyle 69 kg;DOSHO Sara;GOLD
Wrestling;Women's Freestyle 75 kg;WIEBE Erica Elizabeth;GOLD
Archery;Men's Individual;VALLADONT Jean-Charles;SILVER
Archery;Men's Team;United States;SILVER
Archery;Women's Individual;UNRUH Lisa;SILVER
Archery;Women's Team;Russian Federation;SILVER
Artistic Gymnastics;Men's Floor Exercise;HYPOLITO Diego;SILVER
Artistic Gymnastics;Men's Horizontal Bar;LEYVA Danell;SILVER
Artistic Gymnastics;Men's Individual All-Around;VERNIAIEV Oleg;SILVER
Artistic Gymnastics;Men's Parallel Bars;LEYVA Danell;SILVER
Artistic Gymnastics;Men's Pommel Horse;SMITH Louis;SILVER
Artistic Gymnastics;Men's Rings;ZANETTI Arthur;SILVER
Artistic Gymnastics;Men's Team;Russian Federation;SILVER
Artistic Gymnastics;Men's Vault;ABLIAZIN Denis;SILVER
Artistic Gymnastics;Women's Balance Beam;HERNANDEZ Lauren;SILVER
Artistic Gymnastics;Women's Floor Exercise;RAISMAN Alexandra;SILVER
Artistic Gymnastics;Women's Individual All-Around;RAISMAN Alexandra;SILVER
Artistic Gymnastics;Women's Team;Russian Federation;SILVER
Artistic Gymnastics;Women's Uneven Bars;KOCIAN Madison;SILVER
Artistic Gymnastics;Women's Vault;PASEKA Maria;SILVER
Athletics;Men's 10,000m;TANUI Paul Kipngetich;SILVER
Athletics;Men's 100m;GATLIN Justin;SILVER
Athletics;Men's 110m Hurdles;ORTEGA Orlando;SILVER
Athletics;Men's 1500m;MAKHLOUFI Taoufik;SILVER
Athletics;Men's 200m;DE GRASSE Andre;SILVER
Athletics;Men's 20km Walk;CAI Zelin;SILVER
Athletics;Men's 3000m Steeplechase;JAGER Evan;SILVER
Athletics;Men's 4 x 100m Relay;Japan;SILVER
Athletics;Men's 4 x 400m Relay;Jamaica;SILVER
Athletics;Men's 400m;JAMES Kirani;SILVER
Athletics;Men's 400m Hurdles;TUMUTI Boniface Mucheru;SILVER
Athletics;Men's 5000m;CHELIMO Paul Kipkemoi;SILVER
Athletics;Men's 50km Walk;TALLENT Jared;SILVER
Athletics;Men's 800m;MAKHLOUFI Taoufik;SILVER
Athletics;Men's Decathlon;MAYER Kevin;SILVER
Athletics;Men's Discus Throw;MALACHOWSKI Piotr;SILVER
Athletics;Men's Hammer Throw;TSIKHAN Ivan;SILVER
Athletics;Men's High Jump;BARSHIM Mutaz Essa;SILVER
Athletics;Men's Javelin Throw;YEGO Julius;SILVER
Athletics;Men's Long Jump;MANYONGA Luvo;SILVER
Athletics;Men's Marathon;LILESA Feyisa;SILVER
Athletics;Men's Pole Vault;LAVILLENIE Renaud;SILVER
Athletics;Men's Shot Put;KOVACS Joe;SILVER
Athletics;Men's Triple Jump;CLAYE Will;SILVER
Athletics;Women's 10,000m;CHERUIYOT Vivian Jepkemoi;SILVER
Athletics;Women's 100m;BOWIE Tori;SILVER
Athletics;Women's 100m Hurdles;ALI Nia;SILVER
Athletics;Women's 1500m;DIBABA Genzebe;SILVER
Athletics;Women's 200m;SCHIPPERS Dafne;SILVER
Athletics;Women's 20km Walk;GONZALEZ Maria Guadalupe;SILVER
Athletics;Women's 3000m Steeplechase;JEPKEMOI Hyvin Kiyeng;SILVER
Athletics;Women's 4 x 100m Relay;Jamaica;SILVER
Athletics;Women's 4 x 400m Relay;Jamaica;SILVER
Athletics;Women's 400m;FELIX Allyson;SILVER
Athletics;Women's 400m Hurdles;PETERSEN Sara Slott;SILVER
Athletics;Women's 5000m;OBIRI Hellen Onsando;SILVER
Athletics;Women's 800m;NIYONSABA Francine;SILVER
Athletics;Women's Discus Throw;ROBERT-MICHON Melina;SILVER
Athletics;Women's Hammer Throw;ZHANG Wenxiu;SILVER
Athletics;Women's Heptathlon;ENNIS-HILL Jessica;SILVER
Athletics;Women's High Jump;DEMIREVA Mirela;SILVER
Athletics;Women's Javelin Throw;VILJOEN Sunette;SILVER
Athletics;Women's Long Jump;REESE Brittney;SILVER
Athletics;Women's Marathon;KIRWA Eunice Jepkirui;SILVER
Athletics;Women's Pole Vault;MORRIS Sandi;SILVER
Athletics;Women's Shot Put;ADAMS Valerie;SILVER
Athletics;Women's Triple Jump;ROJAS Yulimar;SILVER
Badminton;Men's Doubles;Goh / Tan;SILVER
Badminton;Men's Singles;LEE Chong Wei;SILVER
Badminton;Mixed Doubles;Chan / Goh;SILVER
Badminton;Women's Doubles;Rytter juhl / Pedersen;SILVER
Badminton;Women's Singles;PUSARLA V. Sindhu;SILVER
Basketball;Men;Serbia;SILVER
Basketball;Women;Spain;SILVER
Beach Volleyball;Men;Nicolai / Lupo;SILVER
Beach Volleyball;Women;Bednarczuk / Seixas de Freitas;SILVER
Boxing;Men's Bantam (56kg);STEVENSON Shakur;SILVER
Boxing;Men's Fly (52kg);ALOIAN Misha;SILVER
Boxing;Men's Heavy (91kg);LEVIT Vassiliy;SILVER
Boxing;Men's Light (60kg);OUMIHA Sofiane;SILVER
Boxing;Men's Light Fly (46-49kg);MARTINEZ Yurberjen Herney;SILVER
Boxing;Men's Light Heavy (81kg);NIYAZYMBETOV Adilbek;SILVER
Boxing;Men's Light Welter (64kg);SOTOMAYOR COLLAZO Lorenzo;SILVER
Boxing;Men's Middle (75kg);MELIKUZIEV Bektemir;SILVER
Boxing;Men's Super Heavy (+91kg);JOYCE Joe;SILVER
Boxing;Men's Welter (69kg);GIYASOV Shakhram;SILVER
Boxing;Women's Fly (48-51kg);OURAHMOUNE Sarah;SILVER
Boxing;Women's Light (57-60kg);YIN Junhua;SILVER
Boxing;Women's Middle (69-75kg);FONTIJN Nouchka;SILVER
Canoe Slalom;Canoe Double (C2) Men;Florence / Hounslow;SILVER
Canoe Slalom;Canoe Single (C1) Men;BENUS Matej;SILVER
Canoe Slalom;Kayak (K1) Men;KAUZER Peter;SILVER
Canoe Slalom;Kayak (K1) Women;JONES Luuka;SILVER
Canoe Sprint;Men's Canoe Double 1000m;de Souza Silva / Queiroz dos Santos;SILVER
Canoe Sprint;Men's Canoe Single 1000m;QUEIROZ DOS SANTOS Isaquias;SILVER
Canoe Sprint;Men's Canoe Single 200m;DEMYANENKO Valentin;SILVER
Canoe Sprint;Men's Kayak Double 1000m;Tomicevic / Zoric;SILVER
Canoe Sprint;Men's Kayak Double 200m;Heath / Schofield;SILVER
Canoe Sprint;Men's Kayak Four 1000m;Slovakia;SILVER
Canoe Sprint;Men's Kayak Single 1000m;DOSTAL Josef;SILVER
Canoe Sprint;Men's Kayak Single 200m;BEAUMONT Maxime;SILVER
Canoe Sprint;Women's Kayak Double 500m;Dietze / Weber;SILVER
Canoe Sprint;Women's Kayak Four 500m;Germany;SILVER
Canoe Sprint;Women's Kayak Single 200m;WALCZYKIEWICZ Marta;SILVER
Canoe Sprint;Women's Kayak Single 500m;JORGENSEN Emma;SILVER
Cycling BMX;Men;VAN GORKOM Jelle;SILVER
Cycling BMX;Women;POST Alise;SILVER
Cycling Mountain Bike;Men's Cross-country;KULHAVY Jaroslav;SILVER
Cycling Mountain Bike;Women's Cross-country;WLOSZCZOWSKA Maja;SILVER
Cycling Road;Men's Individual Time Trial;DUMOULIN Tom;SILVER
Cycling Road;Men's Road Race;FUGLSANG Jakob;SILVER
Cycling Road;Women's Individual Time Trial;ZABELINSKAYA Olga;SILVER
Cycling Road;Women's Road Race;JOHANSSON Emma;SILVER
Cycling Track;Men's Keirin;BUCHLI Matthijs;SILVER
Cycling Track;Men's Omnium;CAVENDISH Mark;SILVER
Cycling Track;Men's Sprint;SKINNER Callum;SILVER
Cycling Track;Men's Team Pursuit;Australia;SILVER
Cycling Track;Men's Team Sprint;New Zealand;SILVER
Cycling Track;Women's Keirin;JAMES Rebecca;SILVER
Cycling Track;Women's Omnium;HAMMER Sarah;SILVER
Cycling Track;Women's Sprint;JAMES Rebecca;SILVER
Cycling Track;Women's Team Pursuit;United States;SILVER
Cycling Track;Women's Team Sprint;Voinova / Shmeleva;SILVER
Diving;Men's 10m Platform;SANCHEZ German;SILVER
Diving;Men's 3m Springboard;LAUGHER Jack;SILVER
Diving;Men's Synchronised 10m Platform;Boudia / Johnson;SILVER
Diving;Men's Synchronised 3m Springboard;Dorman / Hixon;SILVER
Diving;Women's 10m Platform;SI Yajie;SILVER
Diving;Women's 3m Springboard;HE Zi;SILVER
Diving;Women's Synchronised 10m Platform;Cheong / Pamg;SILVER
Diving;Women's Synchronised 3m Springboard;Cagnotto / Dallape';SILVER
Equestrian;Dressage Individual;WERTH Isabell;SILVER
Equestrian;Dressage Team;Great Britain;SILVER
Equestrian;Eventing Individual;NICOLAS Astier;SILVER
Equestrian;Eventing Team;Germany;SILVER
Equestrian;Jumping Individual;FREDRICSON Peder;SILVER
Equestrian;Jumping Team;United States;SILVER
Fencing;Men's Épée Individual;IMRE Geza;SILVER
Fencing;Men's Épée Team;Italy;SILVER
Fencing;Men's Foil Individual;MASSIALAS Alexander;SILVER
Fencing;Men's Foil Team;France;SILVER
Fencing;Men's Sabre Individual;HOMER Daryl;SILVER
Fencing;Women's Épée Individual;FIAMINGO Rossella;SILVER
Fencing;Women's Épée Team;China;SILVER
